12;['Comedy'];['Lawrence Bridges'];12;./data/scraping/texts/12.txt
12 and Holding;['Drama'];['Anthony Cipriano'];12_and_Holding;./data/scraping/texts/12_and_Holding.txt
12;['Comedy'];['Lawrence Bridges'];12;./data/scraping/texts/12.txt
12 and Holding;['Drama'];['Anthony Cipriano'];12_and_Holding;./data/scraping/texts/12_and_Holding.txt
12 Years a Slave;['Drama'];['John Ridley'];12_Years_a_Slave;./data/scraping/texts/12_Years_a_Slave.txt
127 Hours;['Adventure', 'Drama', 'Thriller'];['Simon Beaufoy', 'Danny Boyle'];127_Hours;./data/scraping/texts/127_Hours.txt
1492: Conquest of Paradise;['Adventure', 'Drama'];['Roslyne Bosch'];1492:_Conquest_of_Paradise;./data/scraping/texts/1492:_Conquest_of_Paradise.txt
17 Again;['Comedy', 'Drama', 'Romance'];['Jason Filardi'];17_Again;./data/scraping/texts/17_Again.txt
187;['Drama'];['Scott Yagemann'];187;./data/scraping/texts/187.txt
2001: A Space Odyssey;['Adventure', 'Sci-Fi'];['Stanley Kubrick', 'Arhur C. Clarke'];2001:_A_Space_Odyssey;./data/scraping/texts/2001:_A_Space_Odyssey.txt
2012;['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller'];['Roland Emmerich', 'Harald Kloser'];2012;./data/scraping/texts/2012.txt
25th Hour;['Crime', 'Drama'];['David Benioff'];25th_Hour;./data/scraping/texts/25th_Hour.txt
28 Days Later;['Drama', 'Horror', 'Sci-Fi'];['Alex Garland'];28_Days_Later;./data/scraping/texts/28_Days_Later.txt
30 Minutes or Less;['Action', 'Adventure', 'Comedy'];['Michael Diliberti', 'Matthew Sullivan'];30_Minutes_or_Less;./data/scraping/texts/30_Minutes_or_Less.txt
42;['Drama'];['Brian Helgeland'];42;./data/scraping/texts/42.txt
44 Inch Chest;['Crime', 'Drama'];['Louis Mellis', 'David Scinto'];44_Inch_Chest;./data/scraping/texts/44_Inch_Chest.txt
48 Hrs.;['Action', 'Comedy', 'Thriller'];['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart'];48_Hrs;./data/scraping/texts/48_Hrs.txt
50-50;['Comedy', 'Drama'];['Will Reiser'];50-50;./data/scraping/texts/50-50.txt
500 Days of Summer;['Comedy', 'Drama', 'Romance'];['Scott Neustadter', 'Michael H. Weber'];500_Days_of_Summer;./data/scraping/texts/500_Days_of_Summer.txt
8MM;['Mystery', 'Thriller'];['Andrew Kevin Walker'];8MM;./data/scraping/texts/8MM.txt
9;['Animation', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];['Pamela Pettler', 'Shane Acker'];9;./data/scraping/texts/9.txt
A Few Good Men;['Crime', 'Drama', 'Mystery', 'Thriller'];['Aaron Sorkin'];A_Few_Good_Men;./data/scraping/texts/A_Few_Good_Men.txt
A Most Violent Year;['Action', 'Crime', 'Drama'];['J.C. Chandor'];A_Most_Violent_Year;./data/scraping/texts/A_Most_Violent_Year.txt
A Prayer Before Dawn;['Crime', 'Drama'];['Jonathan Hirschbein'];A_Prayer_Before_Dawn;./data/scraping/texts/A_Prayer_Before_Dawn.txt
A Quiet Place;['Drama', 'Horror', 'Sci-Fi'];['Bryan Woods', 'Scott Beck', 'John Krasinski'];A_Quiet_Place;./data/scraping/texts/A_Quiet_Place.txt
A Scanner Darkly;['Animation', 'Crime', 'Drama'];['Charlie Kaufman'];A_Scanner_Darkly;./data/scraping/texts/A_Scanner_Darkly.txt
A Serious Man;['Comedy'];['Joel Coen', 'Ethan Coen'];A_Serious_Man;./data/scraping/texts/A_Serious_Man.txt
Above the Law;['Action'];['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal'];Above_the_Law;./data/scraping/texts/Above_the_Law.txt
Absolute Power;['Thriller', 'Crime', 'Drama'];['David Baldacci', 'William Goldman'];Absolute_Power;./data/scraping/texts/Absolute_Power.txt
Ace Ventura: Pet Detective;['Comedy'];['Jack Bernstein', 'Tom Shadyac', 'Jim Carrey'];Ace_Ventura:_Pet_Detective;./data/scraping/texts/Ace_Ventura:_Pet_Detective.txt
Adaptation;['Comedy', 'Drama'];['Charlie Kaufman', 'Donald Kaufman'];Adaptation;./data/scraping/texts/Adaptation.txt
Addams Family, The;['Comedy', 'Fantasy', 'Horror', 'Family'];['Charles Addams', 'Caroline Thompson'];Addams_Family;./data/scraping/texts/Addams_Family.txt
Adjustment Bureau, The;['Romance', 'Sci-Fi', 'Thriller'];['George Nolfi', 'Philip K Dick'];Adjustment_Bureau;./data/scraping/texts/Adjustment_Bureau.txt
Adventures of Buckaroo Banzai Across the Eighth Dimension, The;['Adventure', 'Comedy', 'Romance', 'Sci-Fi'];['Earl Mac Rauch'];Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension;./data/scraping/texts/Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension.txt
Affliction;['Drama'];['Russell Banks', 'Paul Schrader'];Affliction;./data/scraping/texts/Affliction.txt
After School Special;['Comedy'];['David H. Steinberg'];After_School_Special;./data/scraping/texts/After_School_Special.txt
After.Life;['Drama', 'Horror', 'Thriller'];['Agnieszka Wojtowicz-Vosloo'];After;./data/scraping/texts/After.txt
Agnes of God;['Drama', 'Mystery'];['John Pielmeier'];Agnes_of_God;./data/scraping/texts/Agnes_of_God.txt
Airplane;['Comedy', 'Romance'];['Jim Abrahams', ' David Zucker', 'Jerry Zucker'];Airplane;./data/scraping/texts/Airplane.txt
Airplane 2: The Sequel;['Comedy', 'Sci-Fi'];['Ken Finkleman'];Airplane_2:_The_Sequel;./data/scraping/texts/Airplane_2:_The_Sequel.txt
Ali;['Drama'];['Stephen J Rivele', 'Christopher Wilkinson', 'Eric Roth', 'Michael Mann'];Ali;./data/scraping/texts/Ali.txt
Alien;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Walter Hill', 'David Giler'];Alien;./data/scraping/texts/Alien.txt
Alien 3;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller'];['Rex Pickett'];Alien_3;./data/scraping/texts/Alien_3.txt
Alien Nation;['Crime', 'Drama', 'Sci-Fi'];["Rockne O'Bannon", 'James Cameron'];Alien_Nation;./data/scraping/texts/Alien_Nation.txt
Alien vs. Predator;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Peter Briggs'];Alien_vs;./data/scraping/texts/Alien_vs.txt
Alien: Resurrection;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Joss Whedon'];Alien:_Resurrection;./data/scraping/texts/Alien:_Resurrection.txt
Aliens;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['James Cameron'];Aliens;./data/scraping/texts/Aliens.txt
All About Steve;['Comedy'];['Kim Barker'];All_About_Steve;./data/scraping/texts/All_About_Steve.txt
All the King's Men;['Drama'];['Robert Rossen'];All_the_King's_Men;./data/scraping/texts/All_the_King's_Men.txt
Almost Famous;['Comedy', 'Drama', 'Romance'];['Cameron Crowe'];Almost_Famous;./data/scraping/texts/Almost_Famous.txt
Alone in the Dark;['Action', 'Horror', 'Thriller'];['Elan Mastai', 'Michael Roesch'];Alone_in_the_Dark;./data/scraping/texts/Alone_in_the_Dark.txt
Amadeus;['Drama'];['Peter Shaffer'];Amadeus;./data/scraping/texts/Amadeus.txt
Amelia;['Drama'];['Ronald Bass', 'Anna Hamilton Phelan'];Amelia;./data/scraping/texts/Amelia.txt
American Beauty;['Drama'];['Alan Ball'];American_Beauty;./data/scraping/texts/American_Beauty.txt
American Gangster;['Crime', 'Drama'];['Steven Zaillian', 'Mark Jacobson'];American_Gangster;./data/scraping/texts/American_Gangster.txt
American Graffiti;['Comedy', 'Drama'];['George Lucas', 'Gloria Katz', 'Willard Huyck'];American_Graffiti;./data/scraping/texts/American_Graffiti.txt
American History X;['Crime', 'Drama', 'Thriller'];['David McKenna'];American_History_X;./data/scraping/texts/American_History_X.txt
12;['Comedy'];['Lawrence Bridges'];12;./data/scraping/texts/12.txt
12 and Holding;['Drama'];['Anthony Cipriano'];12_and_Holding;./data/scraping/texts/12_and_Holding.txt
12 Monkeys;['Drama', 'Sci-Fi', 'Thriller'];['David Peoples', 'Janet Peoples'];12_Monkeys;./data/scraping/texts/12_Monkeys.txt
12 Years a Slave;['Drama'];['John Ridley'];12_Years_a_Slave;./data/scraping/texts/12_Years_a_Slave.txt
127 Hours;['Adventure', 'Drama', 'Thriller'];['Simon Beaufoy', 'Danny Boyle'];127_Hours;./data/scraping/texts/127_Hours.txt
1492: Conquest of Paradise;['Adventure', 'Drama'];['Roslyne Bosch'];1492:_Conquest_of_Paradise;./data/scraping/texts/1492:_Conquest_of_Paradise.txt
15 Minutes;['Action', 'Crime', 'Thriller'];['John Hertzfield'];15_Minutes;./data/scraping/texts/15_Minutes.txt
17 Again;['Comedy', 'Drama', 'Romance'];['Jason Filardi'];17_Again;./data/scraping/texts/17_Again.txt
187;['Drama'];['Scott Yagemann'];187;./data/scraping/texts/187.txt
2001: A Space Odyssey;['Adventure', 'Sci-Fi'];['Stanley Kubrick', 'Arhur C. Clarke'];2001:_A_Space_Odyssey;./data/scraping/texts/2001:_A_Space_Odyssey.txt
2012;['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller'];['Roland Emmerich', 'Harald Kloser'];2012;./data/scraping/texts/2012.txt
25th Hour;['Crime', 'Drama'];['David Benioff'];25th_Hour;./data/scraping/texts/25th_Hour.txt
28 Days Later;['Drama', 'Horror', 'Sci-Fi'];['Alex Garland'];28_Days_Later;./data/scraping/texts/28_Days_Later.txt
30 Minutes or Less;['Action', 'Adventure', 'Comedy'];['Michael Diliberti', 'Matthew Sullivan'];30_Minutes_or_Less;./data/scraping/texts/30_Minutes_or_Less.txt
42;['Drama'];['Brian Helgeland'];42;./data/scraping/texts/42.txt
44 Inch Chest;['Crime', 'Drama'];['Louis Mellis', 'David Scinto'];44_Inch_Chest;./data/scraping/texts/44_Inch_Chest.txt
50-50;['Comedy', 'Drama'];['Will Reiser'];50-50;./data/scraping/texts/50-50.txt
500 Days of Summer;['Comedy', 'Drama', 'Romance'];['Scott Neustadter', 'Michael H. Weber'];500_Days_of_Summer;./data/scraping/texts/500_Days_of_Summer.txt
8MM;['Mystery', 'Thriller'];['Andrew Kevin Walker'];8MM;./data/scraping/texts/8MM.txt
